iter	Passed	Remaining
413	3038	4301
414	3045	4293
415	3052	4285
416	3059	4277
417	3066	4269
418	3073	4262
419	3080	4254
420	3087	4246
421	3095	4239
422	3102	4232
423	3109	4224
424	3116	4216
425	3123	4209
426	3130	4200
427	3137	4193
428	3144	4185
429	3152	4179
430	3159	4171
431	3166	4163
432	3174	4156
433	3180	4148
434	3188	4141
435	3195	4133
436	3202	4125
437	3209	4118
438	3216	4110
439	3224	4103
440	3231	4095
441	3237	4087
442	3245	4080
443	3252	4072
444	3259	4064
445	3266	4056
446	3272	4049
447	3279	4041
448	3286	4033
449	3293	4025
450	3300	4018
451	3308	4010
452	3315	4003
453	3322	3995
454	3329	3988
455	3336	3980
456	3344	3974
457	3353	3968
458	3360	3960
459	3367	3953
460	3375	3946
461	3382	3938
462	3389	3931
463	3396	3923
464	3403	3916
465	3410	3908
466	3417	3900
467	3424	3892
468	3431	3885
469	3439	3878
470	3446	3870
471	3453	3863
472	3460	3855
473	3467	3847
474	3474	3839
475	3481	3832
476	3488	3824
477	3495	3817
478	3502	3809
479	3509	3801
480	3516	3793
481	3523	3786
482	3530	3778
483	3537	3771
484	3544	3763
485	3551	3756
486	3558	3748
487	3565	3740
488	3572	3732
489	3579	3725
490	3586	3717
491	3592	3709
492	3600	3702
493	3607	3695
494	3615	3688
495	3622	3681
496	3630	3674
497	3639	3668
498	3646	3661
499	3654	3654
500	3662	3647
501	3669	3640
502	3677	3633
503	3685	3626
504	3692	3619
505	3699	3611
506	3706	3603
507	3713	3596
508	3720	3588
509	3728	3581
510	3735	3574
511	3743	3567
512	3750	3560
513	3757	3553
514	3765	3546
515	3772	3538
516	3779	3530
517	3786	3523
518	3794	3516
519	3801	3509
520	3808	3501
521	3815	3493
522	3822	3486
523	3829	3478
524	3836	3471
525	3843	3463
526	3850	3456
527	3858	3449
528	3865	3441
529	3872	3434
530	3880	3427
531	3889	3421
532	3897	3414
533	3906	3408
534	3913	3401
535	3920	3394
536	3928	3386
537	3935	3379
538	3944	3373
539	3951	3366
540	3959	3359
541	3968	3353
542	3975	3345
543	3983	3339
544	3991	3332
545	4000	3326
546	4007	3318
547	4015	3311
548	4022	3304
549	4030	3297
550	4038	3291
551	4045	3283
552	4053	3276
553	4061	3269
554	4069	3263
555	4077	3255
556	4085	3249
557	4093	3242
558	4101	3235
559	4109	3228
560	4116	3221
561	4124	3214
562	4133	3208
563	4140	3201
564	4148	3194
565	4155	3186
566	4164	3180
567	4171	3172
568	4179	3165
569	4186	3158
570	4194	3151
571	4202	3144
572	4210	3137
573	4218	3130
574	4225	3123
575	4234	3116
576	4242	3109
577	4253	3105
578	4262	3099
579	4271	3093
580	4281	3087
581	4290	3081
582	4299	3075
583	4307	3068
584	4316	3061
585	4323	3054
586	4332	3048
587	4340	3041
588	4350	3035
589	4357	3028
590	4365	3021
591	4373	3013
592	4381	3007
593	4390	3000
594	4398	2993
595	4406	2986
596	4414	2980
597	4422	2972
598	4430	2965
599	4438	2958
600	4446	2951
601	4453	2944
602	4461	2937
603	4469	2930
604	4477	2923
605	4485	2915
606	4492	2908
607	4499	2901
608	4507	2894
609	4515	2886
610	4523	2880
611	4531	2872
612	4539	2865
613	4547	2858
614	4556	2852
615	4563	2844
616	4571	2837
617	4579	2830
618	4588	2824
619	4595	2816
620	4604	2809
621	4611	2802
622	4619	2795
623	4627	2788
624	4635	2781
625	4642	2773
626	4650	2766
627	4658	2759
628	4666	2752
629	4674	2745
630	4682	2738
631	4690	2731
632	4698	2723
633	4706	2717
634	4714	2709
635	4721	2702
636	4729	2695
637	4738	2688
638	4746	2681
639	4754	2674
640	4762	2667
641	4770	2660
642	4778	2652
643	4787	2646
644	4796	2639
645	4804	2632
646	4811	2625
647	4822	2619
648	4831	2613
649	4840	2606
650	4848	2599
651	4856	2591
652	4864	2584
653	4872	2578
654	4880	2570
655	4888	2563
656	4896	2556
657	4903	2548
658	4910	2541
659	4918	2533
660	4925	2525
661	4932	2518
662	4939	2510
663	4946	2503
664	4953	2495
665	4960	2487
666	4968	2480
667	4975	2472
668	4984	2465
669	4991	2458
670	4998	2451
671	5005	2443
672	5018	2438
673	5026	2430
674	5033	2423
675	5041	2416
676	5048	2408
677	5055	2401
678	5062	2393
679	5069	2385
680	5078	2378
681	5086	2371
682	5093	2363
683	5100	2356
684	5107	2348
685	5114	2340
686	5121	2333
687	5128	2325
688	5135	2318
689	5142	2310
690	5150	2303
691	5157	2295
692	5164	2288
693	5172	2280
694	5179	2273
695	5186	2265
696	5193	2257
697	5200	2250
698	5208	2242
699	5214	2234
700	5222	2227
701	5230	2220
702	5238	2213
703	5245	2205
704	5252	2198
705	5260	2190
706	5267	2182
707	5274	2175
708	5281	2167
709	5288	2160
710	5295	2152
711	5303	2145
712	5310	2137
713	5317	2129
714	5324	2122
715	5331	2114
716	5338	2107
717	5346	2099
718	5352	2092
719	5360	2084
720	5366	2076
721	5374	2069
722	5381	2061
723	5388	2054
724	5395	2046
725	5402	2039
726	5410	2031
727	5417	2024
728	5424	2016
729	5431	2008
730	5438	2001
731	5450	1995
732	5458	1988
733	5465	1980
734	5472	1973
735	5479	1965
736	5486	1957
737	5493	1950
738	5500	1942
739	5508	1935
740	5515	1927
741	5522	1920
742	5529	1912
743	5536	1905
744	5543	1897
745	5550	1889
746	5557	1882
747	5564	1874
748	5571	1867
749	5579	1859
750	5586	1852
751	5592	1844
752	5600	1837
753	5607	1829
754	5615	1822
755	5622	1814
756	5629	1807
757	5636	1799
758	5643	1791
759	5650	1784
760	5658	1777
761	5665	1769
762	5672	1761
763	5679	1754
764	5686	1746
765	5693	1739
766	5700	1731
767	5707	1724
768	5714	1716
769	5721	1709
770	5728	1701
771	5736	1694
772	5743	1686
773	5750	1678
774	5757	1671
775	5764	1664
776	5771	1656
777	5779	1649
778	5786	1641
779	5793	1634
780	5800	1626
781	5807	1619
782	5815	1611
783	5821	1603
784	5828	1596
785	5835	1588
786	5842	1581
787	5849	1573
788	5857	1566
789	5864	1558
790	5871	1551
791	5878	1543
792	5886	1536
793	5893	1529
794	5901	1521
795	5908	1514
796	5915	1506
797	5922	1499
798	5928	1491
799	5935	1483
800	5942	1476
801	5949	1468
802	5956	1461
803	5963	1453
804	5971	1446
805	5978	1439
806	5991	1432
807	5999	1425
808	6005	1417
809	6012	1410
810	6020	1403
811	6027	1395
812	6034	1387
813	6041	1380
814	6049	1373
815	6056	1365
816	6063	1358
817	6070	1350
818	6077	1343
819	6084	1335
820	6091	1328
821	6098	1320
822	6106	1313
823	6113	1305
824	6120	1298
825	6127	1290
826	6134	1283
827	6143	1276
828	6150	1268
829	6158	1261
830	6165	1253
831	6172	1246
832	6180	1238
833	6187	1231
834	6194	1224
835	6202	1216
836	6209	1209
837	6216	1201
838	6229	1195
839	6235	1187
840	6242	1180
841	6249	1172
842	6256	1165
843	6263	1157
844	6269	1150
845	6277	1142
846	6284	1135
847	6292	1127
848	6299	1120
849	6306	1112
850	6313	1105
851	6320	1097
852	6328	1090
853	6334	1083
854	6342	1075
855	6349	1068
856	6356	1060
857	6364	1053
858	6371	1045
859	6378	1038
860	6385	1030
861	6392	1023
862	6399	1015
863	6406	1008
864	6413	1001
865	6421	993
866	6428	986
867	6435	978
868	6442	971
869	6449	963
870	6457	956
871	6464	948
872	6471	941
873	6478	933
874	6485	926
875	6492	919
876	6500	911
877	6507	904
878	6514	896
879	6522	889
880	6529	881
881	6537	874
882	6544	867
883	6551	859
884	6558	852
885	6564	844
886	6571	837
887	6578	829
888	6586	822
889	6593	814
890	6600	807
891	6606	799
892	6612	792
893	6619	784
894	6625	777
895	6632	769
896	6639	762
897	6645	754
898	6652	747
899	6659	739
900	6665	732
901	6672	724
902	6678	717
903	6685	709
904	6692	702
905	6698	694
906	6705	687
907	6711	680
908	6717	672
909	6724	665
910	6731	657
911	6738	650
912	6744	642
913	6750	635
914	6758	627
915	6764	620
916	6771	612
917	6778	605
918	6785	598
919	6791	590
920	6798	583
921	6804	575
922	6811	568
923	6819	560
924	6825	553
925	6832	545
926	6839	538
927	6845	531
928	6852	523
929	6858	516
930	6865	508
931	6871	501
932	6878	493
933	6885	486
934	6891	479
935	6897	471
936	6904	464
937	6911	456
938	6918	449
939	6924	442
940	6932	434
941	6940	427
942	6947	419
943	6955	412
944	6962	405
945	6969	397
946	6976	390
947	6983	383
948	6990	375
949	6997	368
950	7003	360
951	7010	353
952	7018	346
953	7025	338
954	7033	331
955	7040	324
956	7047	316
957	7054	309
958	7063	302
959	7070	294
960	7079	287
961	7086	279
962	7093	272
963	7101	265
964	7108	257
965	7116	250
966	7124	243
967	7132	235
968	7139	228
969	7148	221
970	7156	213
971	7163	206
972	7170	198
973	7178	191
974	7185	184
975	7192	176
976	7200	169
977	7207	162
978	7214	154
979	7221	147
980	7228	139
981	7234	132
982	7241	125
983	7247	117
984	7254	110
985	7260	103
986	7267	95
987	7274	88
988	7280	80
989	7287	73
990	7293	66
991	7299	58
992	7306	51
993	7313	44
994	7320	36
995	7327	29
996	7334	22
997	7340	14
998	7347	7
999	7353	0
