iter	Logloss
0	0.6465841151
1	0.6058206254
2	0.5673567282
3	0.537631025
4	0.5050638134
5	0.4778931129
6	0.4522245376
7	0.4288276032
8	0.4114525917
9	0.3921095912
10	0.3723937702
11	0.3557371614
12	0.3417363672
13	0.3280096232
14	0.3167356996
15	0.3032659202
16	0.2926398961
17	0.2825561439
18	0.2742409716
19	0.2645592353
20	0.2569586063
21	0.2484636281
22	0.2419452456
23	0.2344429404
24	0.2281329024
25	0.2230292803
26	0.2160366622
27	0.2115436088
28	0.2063045244
29	0.2022441052
30	0.1967519163
31	0.1924783912
32	0.1893389465
33	0.1865045303
34	0.1827546595
35	0.1788705102
36	0.175824354
37	0.172845
38	0.1700358446
39	0.1671408185
40	0.1640324991
41	0.1611243071
42	0.1588546234
43	0.156942677
44	0.1548498911
45	0.1524675146
46	0.150376302
47	0.1487341971
48	0.1470574281
49	0.1454924939
50	0.1438787053
51	0.1428343304
52	0.1416266527
53	0.1403999981
54	0.1392527965
55	0.1373712147
56	0.1359129759
57	0.1344997584
58	0.1332152754
59	0.1321406952
60	0.1308347791
61	0.1294860419
62	0.1283380247
63	0.1268670139
64	0.1259453682
65	0.125029231
66	0.1243552319
67	0.1233155852
68	0.1225629865
69	0.1217954297
70	0.1209679723
71	0.1202877535
72	0.1190641733
73	0.1182820569
74	0.1174037432
75	0.1168442485
76	0.1162671184
77	0.1151506457
78	0.1144697346
79	0.1138403271
80	0.1132410077
81	0.1125413451
82	0.1118640797
83	0.1114941229
84	0.1107462711
85	0.1100144285
86	0.1093250908
87	0.1085039295
88	0.1078915532
89	0.1074321632
90	0.1071315576
91	0.1066521509
92	0.1062265497
93	0.1058445538
94	0.1050393762
95	0.1045607776
96	0.1041583485
97	0.1037622814
98	0.1032024205
99	0.1027790837
100	0.1024075652
101	0.1019543716
102	0.1013707395
103	0.1009746756
104	0.1005590355
105	0.1002523123
106	0.09999508866
107	0.09953659477
108	0.09912136289
109	0.09882461356
110	0.09816277242
111	0.09752987665
112	0.09703312974
113	0.09669547104
114	0.09638331641
115	0.09593715241
116	0.0956260804
117	0.09527626619
118	0.0949154851
119	0.09444983014
120	0.09393800032
121	0.09347151787
122	0.0931090715
123	0.09269555798
124	0.09233659284
125	0.09195540621
126	0.09161172065
127	0.0912714471
128	0.09096612102
129	0.09072910689
130	0.09028165408
131	0.08990459698
132	0.08957315666
133	0.08926709153
134	0.08896915243
135	0.08868455911
136	0.08842393584
137	0.08794382369
138	0.08758332116
139	0.08714703703
140	0.08689133932
141	0.08650199081
142	0.08627090636
143	0.08578033488
144	0.08539334048
145	0.08508678928
146	0.08475018505
147	0.08442127607
148	0.08400705206
149	0.08367882655
150	0.08348307707
151	0.08331756413
152	0.08301738568
153	0.08268039724
154	0.08246175596
155	0.08221369473
156	0.08194757635
157	0.08178912488
158	0.08148589452
159	0.08106681908
160	0.08079380912
161	0.08041804783
162	0.08019731119
163	0.0799330262
164	0.07948594252
165	0.07931739007
166	0.07901131449
167	0.07875564789
168	0.07854851304
169	0.07825556956
170	0.07804363717
171	0.07774341572
172	0.07740949337
173	0.07708893578
174	0.07681739809
175	0.0764384644
176	0.07614379995
177	0.07587614865
178	0.0755644402
179	0.07534382419
180	0.07524019884
181	0.07499681098
182	0.07466897513
183	0.07447941211
184	0.07417455598
185	0.07389539478
186	0.07366404998
187	0.07334399385
188	0.07308057653
189	0.07278451888
190	0.07255465297
191	0.07235469818
192	0.07206890493
193	0.07184339471
194	0.07168844433
195	0.07140236612
196	0.07126075515
197	0.0710095748
198	0.07073733445
199	0.07058236259
200	0.07041916261
201	0.07017372984
202	0.0699444618
203	0.06965635153
204	0.06938409845
205	0.0692069456
206	0.06892330186
207	0.0687379537
208	0.0685207037
209	0.06824086359
210	0.06790953744
211	0.06775582845
212	0.06752249364
213	0.06731567302
214	0.0671272161
215	0.06696649072
216	0.06675925512
217	0.06660971378
218	0.06641834554
219	0.06627236928
220	0.06611113258
221	0.06595295782
222	0.06579535143
223	0.0656183596
224	0.06539774662
225	0.06527000738
226	0.06510611438
227	0.06488262208
228	0.06468821218
229	0.06457822569
230	0.0643589363
231	0.06423166899
232	0.06399670033
233	0.06380273106
234	0.06373790832
235	0.0635443411
236	0.06336994393
237	0.06309439831
238	0.06282712128
239	0.06256435183
240	0.06231577649
241	0.06219321043
242	0.06201566348
243	0.06173283656
244	0.06149498016
245	0.06126239398
246	0.06101190171
247	0.06072872153
248	0.06056011736
249	0.06039625895
250	0.06017793061
251	0.05997565767
252	0.05976662251
253	0.05956949338
254	0.05939835143
255	0.05920936994
256	0.05905098522
257	0.05891807342
258	0.0587598776
259	0.05863601869
260	0.05846457297
261	0.05825939294
262	0.05813410181
263	0.0579171493
264	0.05761906269
265	0.05736728486
266	0.05720237181
267	0.05709305216
268	0.0569194907
269	0.05679540357
270	0.05665397391
271	0.05645895864
272	0.05630034592
273	0.05608901071
274	0.05593142137
275	0.05583111712
276	0.05573156231
277	0.05562337744
278	0.05548516746
279	0.05531126138
280	0.05508922773
281	0.05487532073
282	0.05472582913
283	0.05457400149
284	0.05442157042
285	0.0543370255
286	0.05412434094
287	0.0539173855
288	0.05374293078
289	0.05362529524
290	0.05339143659
291	0.05317469724
292	0.05303447698
293	0.0529163649
294	0.05281314396
295	0.05258851845
296	0.05239423768
297	0.05227399548
298	0.05212648847
299	0.05199161456
300	0.05181204448
301	0.05171306873
302	0.0515775513
303	0.05138121135
304	0.051128034
305	0.05094127873
306	0.05086898487
307	0.05073194939
308	0.0506523695
309	0.05055275274
310	0.0503305141
311	0.05023885972
312	0.05010121115
313	0.0499989175
314	0.04984481502
315	0.04974958357
316	0.04965175415
317	0.04949571534
318	0.04938163557
319	0.04916787611
320	0.0490288583
321	0.04890779422
322	0.04880125064
323	0.04867387647
324	0.04856846974
325	0.04837992728
326	0.04827652835
327	0.04811215478
328	0.04800159268
329	0.04788943612
330	0.04776514272
331	0.04756088791
332	0.04742589962
333	0.04734045921
334	0.04717721397
335	0.04707463942
336	0.04699169273
337	0.04685844994
338	0.04674218924
339	0.04666200699
340	0.04652460688
341	0.04642796167
342	0.04622591365
343	0.04615173216
344	0.04597995965
345	0.04580429751
346	0.04574503229
347	0.0454688834
348	0.04527614672
349	0.04518144553
350	0.04511645171
351	0.04505330274
352	0.0449664794
353	0.04485294118
354	0.04481844315
355	0.0446880478
356	0.04457577417
357	0.04451219792
358	0.0444528203
359	0.04437385734
360	0.04418627562
361	0.04404856633
362	0.04391874683
363	0.04374389851
364	0.04360565114
365	0.04344297236
366	0.04340235928
367	0.04332084657
368	0.04313159968
369	0.04301715061
370	0.04287381878
371	0.04274000124
372	0.04255988469
373	0.04242669056
374	0.04237631266
375	0.04226979967
376	0.0420563539
377	0.04190819961
378	0.04174947793
379	0.04168051642
380	0.04162788985
381	0.04147301838
382	0.04137656235
383	0.04116042071
384	0.04109552134
385	0.04095179757
386	0.04085112231
387	0.0407010034
388	0.04058991467
389	0.04045665069
390	0.04036144165
391	0.04027510159
392	0.04017318009
393	0.04009394083
394	0.04001112565
395	0.03990622731
396	0.03983600059
397	0.03975014799
398	0.03960600439
399	0.03943506541
400	0.03933553394
401	0.03930378051
402	0.03922650612
403	0.03906811999
404	0.03899211826
405	0.03882776908
406	0.03870662941
407	0.03863512274
408	0.03851721747
409	0.03839128183
410	0.03825832477
411	0.03806868117
412	0.03798523359
413	0.03789792719
414	0.03773234358
415	0.03757175094
416	0.03744824281
417	0.03732912586
418	0.03723996126
419	0.03718324731
420	0.03713070372
421	0.03705366974
422	0.03693336142
423	0.03685788867
424	0.03670135122
425	0.03657544389
426	0.03650074444
427	0.03646452147
428	0.03638544958
429	0.03627309368
430	0.03619599403
431	0.03610721182
432	0.03601181022
433	0.03593609168
434	0.03588157451
435	0.03577086235
436	0.03569763645
437	0.03556469672
438	0.03545654727
439	0.03537629097
440	0.03530781354
441	0.03524081513
442	0.03509699035
443	0.03503358261
444	0.03494432627
445	0.03483785936
446	0.03479121452
447	0.03467794596
448	0.03457998135
449	0.03451645723
450	0.03441821275
451	0.0343051359
452	0.03418722389
453	0.03413893743
454	0.03407981506
455	0.03403551513
456	0.03397247432
457	0.03388659847
458	0.03386985394
459	0.03382570269
